"road_surface","road_condition_1","road_condition_2","lighting","count","execution time"
"snowy","reduced width","other","dark with street lights",2
"wet","loose material","normal","daylight",2
NULL,"loose material",NULL,"dark with no street lights",2
"dry","flooded",NULL,NULL,2
"wet","obstruction","reduced width","dark with no street lights",2
"dry","reduced width",NULL,"dark with street lights not functioning",2
"wet","holes","normal","dusk or dawn",2
"slippery","loose material","construction","daylight",2
NULL,NULL,NULL,"dark with street lights not functioning",2
"slippery","loose material","other","daylight",2
"snowy","other","normal","daylight",2
"dry","reduced width","other","dark with no street lights",2
"slippery","obstruction",NULL,"dark with street lights",2
NULL,"flooded",NULL,"daylight",1
"dry","reduced width","normal","dusk or dawn",1
"H","holes","construction","daylight",1
"H","holes",NULL,"dark with street lights",1
"H","normal",NULL,"dark with no street lights",1
"I","normal",NULL,"dark with street lights",1
"J","normal",NULL,"daylight",1
"slippery","construction","other","daylight",1
"slippery","construction","reduced width","dark with no street lights",1
"slippery","construction",NULL,"dark with no street lights",1
"slippery","flooded","other","dark with no street lights",1
"slippery","flooded",NULL,"dark with no street lights",1
"slippery","holes","construction","daylight",1
"slippery","holes","flooded","dark with no street lights",1
"slippery","holes","loose material","daylight",1
"slippery","holes","normal","dark with no street lights",1
"slippery","holes","normal","daylight",1
"slippery","holes","reduced width","daylight",1
"slippery","loose material","flooded","daylight",1
"slippery","loose material","normal","dark with no street lights",1
"slippery","loose material","normal","daylight",1
"slippery","loose material","obstruction","dark with street lights",1
"slippery","loose material","obstruction","dusk or dawn",1
"slippery","loose material","reduced width","dark with street lights",1
"dry","reduced width","flooded","daylight",1
"dry","other","normal","dusk or dawn",1
"slippery","obstruction","construction","dark with street lights",1
"slippery","obstruction","construction","daylight",1
"slippery","obstruction","other","dark with no street lights",1
"slippery","obstruction",NULL,"dark with no street lights",1
"slippery","other",NULL,"dark with street lights not functioning",1
"slippery","reduced width","other","dusk or dawn",1
"slippery","reduced width",NULL,"dusk or dawn",1
"slippery",NULL,NULL,"dark with no street lights",1
"snowy","construction","other","dark with street lights",1
"snowy","flooded","normal","dark with no street lights",1
"snowy","flooded","other","dark with no street lights",1
"snowy","flooded",NULL,"dusk or dawn",1
"snowy","holes","normal","daylight",1
"snowy","holes",NULL,NULL,1
"snowy","loose material","other","daylight",1
"snowy","loose material","reduced width","dusk or dawn",1
"dry","obstruction","reduced width","dusk or dawn",1
"dry","obstruction","other","dusk or dawn",1
"snowy","obstruction","reduced width","dark with no street lights",1
"snowy","obstruction",NULL,"dark with street lights not functioning",1
"snowy","other","normal","dark with street lights",1
"snowy","other","normal","dusk or dawn",1
"dry","obstruction","other","dark with street lights not functioning",1
"snowy","reduced width","normal","daylight",1
"snowy",NULL,NULL,"dusk or dawn",1
"wet","construction","flooded","dark with no street lights",1
"wet","construction","flooded","daylight",1
"wet","construction","flooded","dusk or dawn",1
"dry","obstruction","construction","dark with street lights not functioning",1
"wet","construction","other","dark with street lights",1
"dry","loose material","obstruction","dusk or dawn",1
"dry","loose material","obstruction","dark with street lights not functioning",1
"wet","holes","construction","dark with street lights",1
"wet","holes","construction","daylight",1
"wet","holes","flooded","dark with no street lights",1
"wet","holes","flooded","dusk or dawn",1
"wet","holes","obstruction","dark with street lights",1
"wet","holes","other","dark with no street lights",1
"wet","loose material","construction","daylight",1
"wet","loose material","flooded","daylight",1
"wet","loose material","normal","dark with street lights",1
"wet","loose material","other","dark with street lights",1
"wet","loose material","other","dusk or dawn",1
"dry","holes","reduced width","dark with no street lights",1
"dry","holes","other","dark with street lights",1
"dry","holes","other","dark with no street lights",1
"wet","obstruction","construction","dark with no street lights",1
"wet","obstruction","normal","daylight",1
"wet","obstruction","other","daylight",1
"dry","holes","obstruction","dusk or dawn",1
"wet","other","normal","dark with no street lights",1
"wet","other","normal","dark with street lights",1
"wet","other","normal","dark with street lights not functioning",1
"dry","holes","loose material","dusk or dawn",1
"wet","other",NULL,NULL,1
"wet","reduced width","other","dark with no street lights",1
"wet","reduced width","other","daylight",1
"wet",NULL,NULL,"dark with street lights not functioning",1
NULL,"construction","normal","dark with street lights",1
NULL,"construction","normal","daylight",1
NULL,"flooded","normal","daylight",1
NULL,"holes","loose material","dark with street lights",1
NULL,"holes","loose material","daylight",1
NULL,"loose material",NULL,"dark with street lights",1
"dry","flooded","other","daylight",1
NULL,"obstruction","reduced width",NULL,1
NULL,"obstruction",NULL,"dark with no street lights",1
NULL,"obstruction",NULL,"daylight",1
NULL,"other",NULL,"dark with no street lights",1
"dry","construction","normal","dark with street lights not functioning",1
NULL,"other",NULL,"dusk or dawn",1
NULL,"reduced width",NULL,"dusk or dawn",1
"dry","construction","other","dusk or dawn",1
"dry","reduced width","other","dusk or dawn",1
